Heroes
Morphling
Morphling
Lone Druid
Kunkka
Chaos Knight
Io
Arc Warden
Visage
Slardar
Oracle
Abaddon
Tinker
Spectre
Spirit Breaker
Zeus
Lycan
Nyx Assassin
Naga Siren
Bounty Hunter
Ancient Apparition
Primal Beast
Clinkz
Earthshaker
Phantom Lancer
Wraith King
Centaur Warrunner
Sand King
Night Stalker
Faceless Void
Necrophos
Viper
Lifestealer
Outworld Destroyer
Undying
Invoker
Grimstroke
Anti-Mage
Muerta
Riki
Silencer
Weaver
Luna
Templar Assassin
Brewmaster
Queen of Pain
Earth Spirit
Dark Seer
Bloodseeker
Phoenix
Keeper of the Light
Slark
Bristleback
Ursa
Axe
Death Prophet
Hoodwink
Warlock
Legion Commander
Underlord
Ogre Magi
Sniper
Monkey King
Mirana
Void Spirit
Storm Spirit
Clockwerk
Puck
Gyrocopter
Windranger
Dawnbreaker
Pangolier
Juggernaut
Dark Willow
Disruptor
Tidehunter
Razor
Drow Ranger
Sven
Morphling
Ember Spirit
Medusa
Dragon Knight
Mars
Snapfire
Phantom Assassin
Timbersaw
